Division,Horse,Rider,D,SXC,JXC,TSJ,JSJ,TSP,Pts,U-Pts
"[HT] Novice, SNR",Adaire,CYNTHIA WRIGHT,30.7,0,0,4,5,39.7,12,
"[HT] Novice, SNR",Viveka,ELYANNA SNYDER,33.1,0,2,8,8,51.1,14,
"[HT] Novice, SNR",Robin Goodfellow,REBECCA FIEDEL,34.8,0,11.6,0,7,53.4,15,
"[HT] Novice, SNR",Perfect Acquisition,MICHELLE WAGNER,34.8,20,0,0,0,54.8,16,
"[HT] Novice, SNR",Charm Offensive,JULIA K. TUSSING,30,0,8.8,4,15,57.8,17,
"[HT] Novice, SNR",Ballynoe Castleross,CAT D. DUBBS,26.9,20,11.2,0,0,58.1,18,
"[HT] Novice, SNR",Bentley,CHRISTINA M. FORNEY,27.6,0,27.6,4,0,59.2,19,
"[HT] Novice, SNR",Ringwood Murphy,TINSLEY D. COHEN,29.5,40,15.2,4,17,105.7,20,
"[HT] Novice, SNR",Shannondale Fionn,JEANNE CARLEY,29.8,,,,,WWW,WW,WW,
"[HT] Novice, SNR",Roosevelt,AHDENA CLARK,30.5,20,R,R,40,RR,RR,
"[HT] Novice, SNR",Grant,SHELBY RODEKOHR,41.9,60,RF,RF,0,RFRF,RFRF,
"[HT] Novice, SNR",Corado 99,KRISTIN CASAS,29.1,100,E,E,0,E,E,
"[HT] Beginner Novice, JBNR:A",Skyes the Limit,MACKENZIE DAVISON,31.3,0,0,0,0,31.3,1,
"[HT] Beginner Novice, JBNR:A",Master Oliver,ALEXANDRA BEZNER,32.8,0,0,0,0,32.8,2,
"[HT] Beginner Novice, JBNR:A",Phoenix Belissima,MIA BOILLOT,33.8,0,0,0,0,33.8,3,
"[HT] Beginner Novice, JBNR:A",Kayleigh,PAYTON PIEARCY,34.5,0,0,0,0,34.5,4,
"[HT] Beginner Novice, JBNR:A",The Swiss Miss,DAISY HANRETTY,35.3,0,0,0,0,35.3,5,
"[HT] Beginner Novice, JBNR:A",winds of challenge,JACQUELINE COLBY,35.8,0,0,0,0,35.8,6,
"[HT] Beginner Novice, JBNR:A",Elk Mountain,MOLLY KEIGHRAN,35.5,0,0.8,0,0,36.3,7,
"[HT] Beginner Novice, JBNR:A",Foxy Lady,NATALIE BARTON,38.8,0,0,0,0,38.8,8,
"[HT] Beginner Novice, JBNR:A",Indiana Tamalpais,ANDIE SUE ROTH,38.8,0,2,0,0,40.8,9,
"[HT] Beginner Novice, JBNR:A",Storm Warning,HANNAH CEGIELSKI,37,0,0,4,0,41,10,
"[HT] Beginner Novice, JBNR:A",TBF Sweet Dublainn,MIA NOVAL,37.5,0,0,4,0,41.5,11,
"[HT] Beginner Novice, JBNR:A",Shades of Grey,ANNIKA HEETER,37.5,0,4,0,0,41.5,12,
"[HT] Beginner Novice, JBNR:A",One Trick Pony,JULIA BEAUCHAMP CRANDON,43.8,0,0,0,0,43.8,13,
"[HT] Beginner Novice, JBNR:A",It Had to be You,RACHEL GRAHAM,40,0,0,4,0,44,14,
"[HT] Beginner Novice, JBNR:A",Captain Kirk,DESTINY S. LAFATA,39,0,0,4,6,49,15,
"[HT] Beginner Novice, JBNR:A",Bugs Snow Man,KAHLEA A. SCHLEGEL,44.3,0,7.6,0,0,51.9,16,
"[HT] Beginner Novice, JBNR:A",Royal Zephyr,JOCELYN CARTER,41,0,0,8,3,52,17,
"[HT] Beginner Novice, JBNR:B",Feels Like Carolina,MORGAN LUNN,36,0,0,0,0,36,1,
"[HT] Beginner Novice, JBNR:B",Dance with the Devil,KYLEE PIERCE,38,0,0,0,0,38,2,
"[HT] Beginner Novice, JBNR:B",My Box of Crayons,RYLAN TUCKER,38.5,0,0,0,0,38.5,3,
"[HT] Beginner Novice, JBNR:B",Danny Boy,ALEXA FRIESEL,39,0,0,0,0,39,4,
"[HT] Beginner Novice, JBNR:B",Resilience,MADDIE BERRY,40.3,0,0,0,0,40.3,5,
"[HT] Beginner Novice, JBNR:B",Miss Limited Edition,KYRA I. GREEN,40.8,0,0,0,0,40.8,6,
"[HT] Beginner Novice, JBNR:B",Tullibards Hawkwind,HEATHER R. WALDEN,41.5,0,0,0,0,41.5,7,
"[HT] Beginner Novice, JBNR:B",Half-Caff Espresso,ANNABELLE FAGANS,39,0,0,4,0,43,8,
"[HT] Beginner Novice, JBNR:B",Rebel's Fire,CHLOE J. HERNANDEZ,39.5,0,0,4,3,46.5,9,
"[HT] Beginner Novice, JBNR:B",Dallas,PAIGE I. PRIEST,35.5,0,0,12,0,47.5,10,
"[HT] Beginner Novice, JBNR:B",Gaelic Blessing,LILY GORDO,33,20,7.6,0,5,65.6,11,
"[HT] Beginner Novice, JBNR:B",Maradona,ALEXA PAPAHADJOPOULOS,35.3,20,4.4,8,0,67.7,12,
"[HT] Beginner Novice, JBNR:B",King Milo,BRIDGET TAYLOR,37.3,20,14,4,0,75.3,13,
"[HT] Beginner Novice, JBNR:B",Kilbarry Prince,KAILEY VAUGHN,42,,0,E,E,E,HC,
"[HT] Beginner Novice, JBNR:B",Never Grow Up,KAYLAN R. MCCORMAC,35.3,,0,TE,TE,TE,TE,
"[HT] Beginner Novice, JBNR:B",Danny California,AMANDA C. BLAKE,37,20,RF,RF,4,RF,RF,
"[HT] Beginner Novice, JBNR:B",Johnnie Walker Red,HANNAH M. ALGER,E,,,,,,,E,
"[HT] Beginner Novice, OBN",Adelaide SWF,TOORA O’MAHONY,31.3,0,0,0,0,31.3,1,
"[HT] Beginner Novice, OBN",I'M Jaguar,AMBER BIRTCIL,31.5,0,0,4,0,35.5,2,
"[HT] Beginner Novice, OBN",Oliver,JENNIFER L. MCRONALD,35.8,0,0,0,0,35.8,3,
"[HT] Beginner Novice, OBN",Juniperus,AMBER BIRTCIL,33,0,0,4,0,37,4,
"[HT] Beginner Novice, OBN",Doctorado,JOLIE WENTWORTH,33.3,0,0,4,0,37.3,5,
"[HT] Beginner Novice, OBN",Daehling Dex,ELLA GARCIA,39,0,0,0,0,39,6,
"[HT] Beginner Novice, OBN",Winter is Coming,TRACY ALVES,37.3,0,3.2,0,0,40.5,7,
"[HT] Beginner Novice, OBN",Caliente LLWB,JACQUELINE BLAIS,37.8,0,0,4,0,41.8,8,
