Division,Horse,Rider,D,SXC,JXC,TSJ,JSJ,TSP,Pts,U-Pts
"[HT] Novice, SNR",Monets Wish,VICTORIA KLEIN,31.7,0,0,0,0,31.7,3,6.0
"[HT] Novice, SNR",Chicago GS,EILEEN W. MORGENTHALER,25.6,0,4.8,0,1.6,32,4,5.0
"[HT] Novice, SNR",Armi,AUDREY MILLER,28.3,0,0,4,0,32.3,5,0.0
"[HT] Novice, SNR",MBF Cashall,GINA COONS,28.9,0,0,4,0,32.9,6,0.0
"[HT] Novice, SNR",Power Play DF,MADDIE JACKSON,29.2,0,6.4,4,0,39.6,7,0.0
"[HT] Novice, SNR",Lexicon,MOLLY JOHNSON,32.8,0,3.2,4,0,40,8,4.0
"[HT] Novice, SNR",My Mitch,KAREN HORN,33.1,0,0,4,3.2,40.3,9,3.0
"[HT] Novice, SNR",Terraplane Blues,HOLGER H. HOETZEL,28.3,0,8,8,0,44.3,10,0.0
"[HT] Novice, SNR",Mondego,MONICA J. LUKES,29.7,0,16,4,0,49.7,11,0.0
"[HT] Novice, SNR",Isaac's Dancing,JANE WINSLOW,41.9,0,8.4,4,0.8,55.1,12,0.0
"[HT] Novice, SNR",Kynynmont Sebastian,TAM SERBER,36.7,0,8.4,16,0.8,61.9,13,0.0
"[HT] Novice, SNR",Ballingowan Curious,HARPER KOROL,35.6,20,2,0,4.8,62.4,14,0.0
"[HT] Novice, SNR",Pro Riot,JEANNETTE K. KEITH,42.5,60,R,4,0,R,R,0.0
"[HT] Novice, SNR",Sully,MAX A. O'KREPKI,38.3,-,-,-,-,W,W,0.0
"[HT] Novice, SNR",Remarque,ALLEGRA CHEL,29.2,14,0,E,0,E,E,0.0
"[HT] Novice, SNR",Lexington DF,DANIELA ZARATE,30.6,8,0,E,4,0.8,E,E,0.0
"[HT] Novice, SNR",Rocket van Maarle,LAUREN HANNAH,31.7,-,W,0,0,W,W,0.0
"[HT] Beginner Novice, JBNR:A",CF Quintano,SOPHIA KUZMA,29.7,0,0,0,0,29.7,1,0.0
"[HT] Beginner Novice, JBNR:A",Catina,NANDA PRASAD,35,0,2.4,0,0,37.4,2,0.0
"[HT] Beginner Novice, JBNR:A",Om El Bomani,JAHZINA HUTTON,33.8,0,0,4,0,37.8,3,0.0
"[HT] Beginner Novice, JBNR:A",Frankly Speaking,MIA BUDELLI,27.4,0,0,4,8.4,39.8,4,0.0
"[HT] Beginner Novice, JBNR:A",L'Enfant Dit,LILY REED,37.9,0,0,4,0,41.9,5,0.0
"[HT] Beginner Novice, JBNR:A",Columbia BF,MAKENNA ROWLAND,35,0,18.4,8,0,61.4,6,0.0
"[HT] Beginner Novice, JBNR:A",Niagara’s Rhythm,ABBY EDWARDS,32.4,40,0,0,4,76.4,7,0.0
"[HT] Beginner Novice, JBNR:A",Native Heart,DELANEY WILLARDSON,30.6,60,4.4,4,0,99,8,0.0
"[HT] Beginner Novice, JBNR:A",Diesel,SARAH-MARIE ERICKSON,37.7,40,26.4,4,2.8,110.9,9,0.0
"[HT] Beginner Novice, JBNR:A",Tropic Delight,CLAIRE C. BACOCH,36.8,-,-,-,12,E,E,0.0
"[HT] Beginner Novice, JBNR:A",Tonzagold,KYRA L. GLASS,31.5,40,R,0,2.4,R,R,0.0
"[HT] Beginner Novice, JBNR:A",Lucky Charm,EMA F. CHAPMAN,34.1,-,-,-,0,RF,RF,0.0
