Division,Horse,Rider,Dressage,XC_Jump_Pen,XC_Time_Pen,SJ_Jump_Pen,SJ_Time_Pen,Final_Score,Rank,event_info
"Training, OT:B",Cat Tracks,ALEXANDRA KNOWLES,37.5,0,0,0,0,37.5,4,aug2005_woodside_summerHT.txt
"Training, OT:B",Vertigo II,LAUREN G. BURNELL,38,0,0,0,0,38,5,aug2005_woodside_summerHT.txt
"Training, OT:B",Kanan,MARIAH DE NIJS,35.5,0,0,4,0,39.5,6,aug2005_woodside_summerHT.txt
"Training, OT:B",Keen Eddie,TARA E. RICHARDSON,36.5,0,0,4,0,40.5,7,aug2005_woodside_summerHT.txt
"Training, OT:B",Una,JIL WALTON,33,0,0,8,0,41,8,aug2005_woodside_summerHT.txt
"Training, OT:B",Gulliver VI,PAIGE HELLER,35,0,0,8,0,43,9,aug2005_woodside_summerHT.txt
"Training, OT:B",Watseka,ERIN R. KELLERHOUSE,39,0,1.2,4,0,44.2,10,aug2005_woodside_summerHT.txt
"Training, OT:B",Fiat Lux,LINDSAY CONNORS,40.5,0,3.2,4,0,47.7,11,aug2005_woodside_summerHT.txt
"Training, OT:B",Dillon,SHANNON P. LILLEY,40.5,0,0,8,0,48.5,12,aug2005_woodside_summerHT.txt
"Training, OT:B",Mastercopy,LAURA FURNISS,35.5,0,0,8,7,50.5,13,aug2005_woodside_summerHT.txt
"Training, OT:B",Why Not,MICHELLE TONKS,49.5,20,1.6,4,0,75.1,14,aug2005_woodside_summerHT.txt
"Training, OT:B",Direct Venture,COURTNEY PILLA,52,20,11.2,16,0,99.2,15,aug2005_woodside_summerHT.txt
"Training, OT:B",Gryffindor V,ANN E. BYRON,39,0,0,0,0,39,E,aug2005_woodside_summerHT.txt
"Training, OT:B",Dominik,MEGAN GASTEL,45.5,0,0,0,0,45.5,E,aug2005_woodside_summerHT.txt
"Training, T:RIDER JR",Hula Moon,EMMA A. GROVES,34.5,0,0,0,0,34.5,1,aug2005_woodside_summerHT.txt
"Training, T:RIDER JR",MacJordan,KRISTI B. FORESMAN,32.5,0,0,4,0,36.5,2,aug2005_woodside_summerHT.txt
"Training, T:RIDER JR",Seacrest,KIMBERLY KASLOW,37.5,0,0,0,0,37.5,3,aug2005_woodside_summerHT.txt
"Training, T:RIDER JR",Smarty Pants,HEIDI STEINMAN,34,0,0,4,0,38,4,aug2005_woodside_summerHT.txt
"Training, T:RIDER JR",Miss July,SHAE SMOOT,34.5,0,0,4,0,38.5,5,aug2005_woodside_summerHT.txt
"Training, T:RIDER JR",Hugo,JOHNITA LANNI-CRADIT,33,0,0,8,0,41,6,aug2005_woodside_summerHT.txt
"Training, T:RIDER JR",Shane's Friend,JENNA D. FREITAS,34.5,0,0,8,0,42.5,7,aug2005_woodside_summerHT.txt
"Training, T:RIDER JR",Spotless,ALEXANDRA CHOU,34,0,2.4,4,3,43.4,8,aug2005_woodside_summerHT.txt
"Training, T:RIDER JR",Dressed Up James,SADIE GEERNAERT,38,0,2,4,0,44,9,aug2005_woodside_summerHT.txt
"Training, T:RIDER JR",Another One,JOHN D. GRIFFIN,38,0,0,8,0,46,10,aug2005_woodside_summerHT.txt
"Training, T:RIDER JR",Gaelic Blessing,NINA MOODY,35.5,0,0,12,0,47.5,11,aug2005_woodside_summerHT.txt
"Training, T:RIDER JR",Silver Streak,SARA UMPHENOUR,32,20,0,0,0,52,12,aug2005_woodside_summerHT.txt
"Training, T:RIDER JR",Sammy Dazzler,KAYLEEN P. CROWLEY,32,20,0,0,0,52,12,aug2005_woodside_summerHT.txt
"Training, T:RIDER JR",Slowly But Shirley,MEGHAN S. NEWTON,44.5,0,0,4,7,55.5,14,aug2005_woodside_summerHT.txt
"Training, T:RIDER JR",Texas Ranger,LAUREN BILLYS,37.5,0,6.4,20,16,79.9,15,aug2005_woodside_summerHT.txt
"Training, T:RIDER JR",Pluto,TRISHA JARACZ,26.5,40,18,0,0,84.5,16,aug2005_woodside_summerHT.txt
"Training, T:RIDER JR",Scout IV,MIRANDA REDMOND,43.5,40,28.8,8,0,120.3,17,aug2005_woodside_summerHT.txt
"Training, T:RIDER JR",Sweet Griffin,CHRISTINA M. AGUET,32.5,0,0,0,0,32.5,E,aug2005_woodside_summerHT.txt
"Training, T:RIDER JR",Hagrid III,KATRINA YOUNG,41.5,0,0,0,0,41.5,W,aug2005_woodside_summerHT.txt
"Training, T:RIDER JR",Jenny Go Lightly,JAKE FERNANDEZ,47.5,145,42.4,0,0,234.9,E,aug2005_woodside_summerHT.txt
"Training, T:RIDER SR",Toshack,LISA J. WONG,42.5,0,0,0,0,42.5,1,aug2005_woodside_summerHT.txt
"Training, T:RIDER SR",Cabriolet,JESSICA WARTER,39,0,0,4,0,43,2,aug2005_woodside_summerHT.txt
"Training, T:RIDER SR",Top Contender,KEALY MCINTURFF,43.5,0,0,0,0,43.5,3,aug2005_woodside_summerHT.txt
"Training, T:RIDER SR",Arizona Blue,DAWN ROBBINS,39.5,0,0,4,0,43.5,4,aug2005_woodside_summerHT.txt
"Training, T:RIDER SR",Cimarron,DEBBIE DAVIS,28,0,0,16,0,44,5,aug2005_woodside_summerHT.txt
"Training, T:RIDER SR",EMR Windchester,KATIE KLOOSTER,42,0,0,4,0,46,6,aug2005_woodside_summerHT.txt
"Training, T:RIDER SR",By Jove,EILEEN O'FARRELL,46,0,0,0,0,46,7,aug2005_woodside_summerHT.txt
"Training, T:RIDER SR",Avatar,TERENCE F. SAVORY,43.5,0,0,4,0,47.5,8,aug2005_woodside_summerHT.txt
"Training, T:RIDER SR",Flying Dutchman,KRISTEN BUSBY,43.5,0,0,4,0,47.5,8,aug2005_woodside_summerHT.txt
"Training, T:RIDER SR",Do It Exact,CINDI MORAVEC,46.5,0,0,0,1,47.5,8,aug2005_woodside_summerHT.txt
"Training, T:RIDER SR",Vinny Can Go,RUTH BLEY,52,0,0,4,0,56,11,aug2005_woodside_summerHT.txt
"Training, T:RIDER SR",Oakengrove Peter H,ERIN WILDE,40.5,20,7.2,0,0,67.7,12,aug2005_woodside_summerHT.txt
"Training, T:RIDER SR",Beaujolais,DEDE MCCOY,34.5,20,24,0,0,78.5,13,aug2005_woodside_summerHT.txt
"Training, T:RIDER SR",General Gonzo,CONNIE BAXTER,45.5,20,20.8,0,4,90.3,14,aug2005_woodside_summerHT.txt
"Training, T:RIDER SR",Big Red II,ALEXANDRIA PAUL,36,20,11.2,20,21,108.2,15,aug2005_woodside_summerHT.txt
"Training, T:RIDER SR",HHA Tu Bask,TIFFANY DAWSON,41,40,5.2,12,28,126.2,16,aug2005_woodside_summerHT.txt
"Training, T:RIDER SR",Nijinski,STEWART B. KATZEN,49.5,60,29.2,0,0,138.7,17,aug2005_woodside_summerHT.txt
"Training, T:RIDER SR",Colin Me Crazy,ELISABETH A. MEHNER,45,80,38,0,0,163,18,aug2005_woodside_summerHT.txt
"Training, T:RIDER SR",V.E. Fantasia,SANDY BOLING,43.5,0,0,0,0,43.5,R,aug2005_woodside_summerHT.txt
"Training, T:RIDER SR",Irish Brogue,LINDA L. DUBEE,46,0,0,0,0,46,R,aug2005_woodside_summerHT.txt
"Novice, N:RIDER JR A",Abraham Darby,KATHERINE FRANCHINI,36,0,0,0,0,36,1,aug2005_woodside_summerHT.txt
"Novice, N:RIDER JR A",Caught Red Handed,RACHEL ROBERTSON-HINDMAN,36.5,0,0,0,0,36.5,2,aug2005_woodside_summerHT.txt
"Novice, N:RIDER JR A",Time to Chime,ASHLEIGH GUICH,35,0,0,0,2,37,3,aug2005_woodside_summerHT.txt
"Novice, N:RIDER JR A",Johnny Reb,KATHRYN DUBBS,43,0,0,0,0,43,4,aug2005_woodside_summerHT.txt
"Novice, N:RIDER JR A",Starstrukk,KAELA M. SULLIVAN,43.5,0,0,0,0,43.5,5,aug2005_woodside_summerHT.txt
"Novice, N:RIDER JR A",Marius,MELANIE HENDERSON,31,20,0,0,0,51,6,aug2005_woodside_summerHT.txt
"Novice, N:RIDER JR A",Never Late For Honey,RACHEL COLEMAN-HUNT,36,0,0,4,13,53,7,aug2005_woodside_summerHT.txt
"Novice, N:RIDER JR A",V.E. Copperopolis,CELINE PURCELL,45,0,8.8,0,0,53.8,8,aug2005_woodside_summerHT.txt
"Novice, N:RIDER JR A",Emerald Atlas,ASHLEY J. BROWN,42.5,20,0,0,0,62.5,9,aug2005_woodside_summerHT.txt
"Novice, N:RIDER JR A",V.E. Sweet Emotion,STEFANIE KRAL,36,20,0,4,4,64,10,aug2005_woodside_summerHT.txt
"Novice, N:RIDER JR A",Segway,JESTINE BUTTS,39,40,9.2,4,15,107.2,11,aug2005_woodside_summerHT.txt
"Novice, N:RIDER JR A",Windsor VII,HAYLEY ANNE M. MORGAN,29.5,0,0,0,0,29.5,E,aug2005_woodside_summerHT.txt
"Novice, N:RIDER JR B",Hi Ho Silver,AMY FOX,33,0,0,0,0,33,1,aug2005_woodside_summerHT.txt
"Novice, N:RIDER JR B",Prestiges Town Gypsy,STEFANIE SCHLIEF,34.5,0,0,0,0,34.5,2,aug2005_woodside_summerHT.txt
"Novice, N:RIDER JR B",V.E. Alli-oop,CHRISTINA WHITE,34,0,0.8,0,0,34.8,3,aug2005_woodside_summerHT.txt
"Novice, N:RIDER JR B",Let 'm Roll,KATHLEEN SIMON,35,0,0,0,0,35,4,aug2005_woodside_summerHT.txt
"Novice, N:RIDER JR B",Sirius Black III,KAYLA MULLER,35.5,0,0,0,0,35.5,5,aug2005_woodside_summerHT.txt
"Novice, N:RIDER JR B",Tolar **,JULIANA C. CRUZ,35.5,0,0,4,0,39.5,6,aug2005_woodside_summerHT.txt
"Novice, N:RIDER JR B",My Sha Roan Nah,MEGAN K. LAUGHTON,36,0,0,4,0,40,7,aug2005_woodside_summerHT.txt
"Novice, N:RIDER JR B",Page In Review,CHRISTIN AGRESTA,41.5,0,0,0,0,41.5,8,aug2005_woodside_summerHT.txt
"Novice, N:RIDER JR B",Wave Edition,SARAH MANNING,41.5,0,0,0,0,41.5,8,aug2005_woodside_summerHT.txt
"Novice, N:RIDER JR B",Marge the Barge,ALEXANDRIA BELL,37.5,0,0,4,0,41.5,8,aug2005_woodside_summerHT.txt
"Novice, N:RIDER JR B",V.E. Jack of Hearts,MAGGIE TREVITHICK,38,20,0,0,0,58,11,aug2005_woodside_summerHT.txt
"Novice, N:RIDER JR B",Matrix III,KEITH MALLETT,39,20,0,4,0,63,12,aug2005_woodside_summerHT.txt
"Novice, N:RIDER JR B",Synergy,MADISON M. LONG,43.5,0,17.6,4,0,65.1,13,aug2005_woodside_summerHT.txt
"Novice, N:RIDER JR B",Diplomatic King,SHAYNA FIELDS,37,60,0,0,1,98,14,aug2005_woodside_summerHT.txt
"Novice, N:RIDER JR B",Cutamo,JESTINE BUTTS,32.5,0,0,0,0,32.5,E,aug2005_woodside_summerHT.txt
"Novice, N:RIDER JR B",Jump Start III (Zoe),JAIME MOFFITT,41.5,0,0,4,0,45.5,E,aug2005_woodside_summerHT.txt
"Novice, N:RIDER SR",Cinderella Man,SONEE K. ARCE,33.5,0,0,0,0,33.5,1,aug2005_woodside_summerHT.txt
"Novice, N:RIDER SR",Sweet Reason,VICTORIA KLEIN,36.5,0,0,0,0,36.5,2,aug2005_woodside_summerHT.txt
"Novice, N:RIDER SR",General Lee II,KRISTINE HEGGLIN,33,0,0,4,0,37,3,aug2005_woodside_summerHT.txt
"Novice, N:RIDER SR",Saturninus,CHERIE BAYLIS,36,0,0,0,1,37,4,aug2005_woodside_summerHT.txt
"Novice, N:RIDER SR",Windklasse,MEGHAN GEILHUFE,39.5,0,0,0,0,39.5,5,aug2005_woodside_summerHT.txt
"Novice, N:RIDER SR",Ready To Rhumba,SANDRA JOHNSON,41,0,0,0,0,41,6,aug2005_woodside_summerHT.txt
"Novice, N:RIDER SR",Sonoma,NICOLE MUSHKIN,39,0,0,4,0,43,7,aug2005_woodside_summerHT.txt
"Novice, N:RIDER SR",Fuerst Fenomenon,MATTHEW B. WALLEY,37,20,0,0,0,57,8,aug2005_woodside_summerHT.txt
"Novice, N:RIDER SR",Atlas II,ANNE AHLMAN,37,20,0,0,0,57,8,aug2005_woodside_summerHT.txt
"Novice, N:RIDER SR",Come Monday,SARAH PLEP,38.5,20,0,0,0,58.5,10,aug2005_woodside_summerHT.txt
"Novice, N:RIDER SR",Classic Roman,REBECCA NAEVE,35.5,20,0,4,0,59.5,11,aug2005_woodside_summerHT.txt
"Novice, N:RIDER SR",Naz's Last Chance,TERRY HILST,42,20,0,4,0,66,12,aug2005_woodside_summerHT.txt
"Novice, N:RIDER SR",The Lady's Man,KIM POESE,39.5,20,0,4,7,70.5,13,aug2005_woodside_summerHT.txt
"Novice, N:RIDER SR",Marreksh Express,NICOLE HAMILTON,53.5,0,0,12,5,70.5,13,aug2005_woodside_summerHT.txt
"Novice, N:RIDER SR",The Perfect Storm II,EILEEN W. MORGENTHALER,37,60,0,0,0,97,15,aug2005_woodside_summerHT.txt
"Novice, N:RIDER SR",Miss Me **,SUZANNE BROCK,57,20,10.4,4,11,102.4,16,aug2005_woodside_summerHT.txt
"Novice, N:RIDER SR",Odolus,JOAN HANKIN,37.5,85,10.8,0,0,133.3,17,aug2005_woodside_summerHT.txt
"Novice, N:RIDER SR",Gallahad II,LINDA K. BETTS,35.5,80,14.4,4,0,133.9,18,aug2005_woodside_summerHT.txt
"Novice, N:RIDER SR",Kinsale,ANNIE J. SCHMIDT,39,0,0,0,0,39,E,aug2005_woodside_summerHT.txt
"Novice, N:RIDER SR",Born To Rock,CATHLEEN STARK,39.5,0,0,0,0,39.5,E,aug2005_woodside_summerHT.txt
"Novice, N:RIDER SR",Morris **,MAGUY PALLUEL,35,0,0,12,10,57,E,aug2005_woodside_summerHT.txt
"Novice, ON",Prinzess Pia,PAT MCFARLAND,26.5,0,0,0,0,26.5,1,aug2005_woodside_summerHT.txt
"Novice, ON",Aragorn III,YVES SAUVIGNON,28.5,0,0,0,0,28.5,2,aug2005_woodside_summerHT.txt
"Novice, ON",Wolke,GABRIELLE M. GONI,26,0,5.2,0,0,31.2,3,aug2005_woodside_summerHT.txt
"Novice, ON",Really A Dancer,MARJORIE A. MOLLOY,30.5,0,0.8,0,0,31.3,4,aug2005_woodside_summerHT.txt
"Novice, ON",Henry Hudson,JIL WALTON,29.5,0,0,4,0,33.5,5,aug2005_woodside_summerHT.txt
"Novice, ON",Check In,NATALIE BRADY,34,0,0,0,0,34,6,aug2005_woodside_summerHT.txt
"Novice, ON",Billy White Shoes,JOSH BARNACLE,35.5,0,0,0,0,35.5,7,aug2005_woodside_summerHT.txt
"Novice, ON",Bartok SLR,GINA ECONOMOU,36,0,0,0,0,36,8,aug2005_woodside_summerHT.txt
"Novice, ON",Joey VI,NICHOLAS CWICK,36.5,0,0,0,0,36.5,9,aug2005_woodside_summerHT.txt
"Novice, ON",Crooked River,ALEXANDRIA GOFF,37,0,0,0,0,37,10,aug2005_woodside_summerHT.txt
"Novice, ON",Loyalty Counts,MICHAEL J. MEHNER,42,0,0,0,0,42,11,aug2005_woodside_summerHT.txt
"Novice, ON",Stormin' Norman III,GRETCHEN FORREY,44.5,0,0,0,0,44.5,12,aug2005_woodside_summerHT.txt
"Novice, ON",Bohem,ILDIKO HITES,23,20,5.2,0,0,48.2,13,aug2005_woodside_summerHT.txt
"Novice, ON",Runs with Scissors,BRITTANY AMES,29,20,0,0,0,49,14,aug2005_woodside_summerHT.txt
"Novice, ON",Gringosch,KARA KASK,36,0,16.4,0,0,52.4,15,aug2005_woodside_summerHT.txt
"Novice, ON",Masai,VANESSA FULLER,35,20,0,0,0,55,16,aug2005_woodside_summerHT.txt
"Novice, ON",Joyfull **,JOLIE WENTWORTH,41,0,26.4,0,5,72.4,17,aug2005_woodside_summerHT.txt
"Novice, ON",Holisko,LISA SABO,24.5,40,16.4,0,0,80.9,18,aug2005_woodside_summerHT.txt
"Novice, ON",Charmed (Kerry),MICHLYNN STERLING,24.5,0,0,0,0,24.5,E,aug2005_woodside_summerHT.txt
"Novice, ON",Cimpatico,JIM DAVIS,38,0,0,0,0,38,E,aug2005_woodside_summerHT.txt
"Novice, ON",Eddie Be Ready,ERIN WILEY,38,0,0,0,0,38,E,aug2005_woodside_summerHT.txt
"Novice, ON",Outta' Hand,GINA ECONOMOU,45,0,0,0,0,45,E,aug2005_woodside_summerHT.txt
"Beginner Novice, BN:OPEN",Maseratti,WHITNEY TUCKER BILLETER,33.5,0,0.4,0,0,33.9,1,aug2005_woodside_summerHT.txt
"Beginner Novice, BN:OPEN",Kudos,ILDIKO HITES,29.5,40,42,4,0,115.5,6,aug2005_woodside_summerHT.txt
"Beginner Novice, BN:OPEN",Sir Gatrock,EMO HITES,37,165,34,0,0,236,7,aug2005_woodside_summerHT.txt
"Beginner Novice, BN:OPEN",Dynameis,DEBBIE A. PORT,33,0,0,20,0,53,R,aug2005_woodside_summerHT.txt
"Beginner Novice, BN:RIDER JR A",Nanook,ANNA MEDINA,32,0,0,0,0,32,1,aug2005_woodside_summerHT.txt
"Beginner Novice, BN:RIDER JR A",Salamis Salome,ZANDRA M. WILKERSON,37.5,0,0,4,0,41.5,4,aug2005_woodside_summerHT.txt
